image_name,url,downloaded_image_path,model_label,model_name,device,status,error,predicted_class,top1_confidence_percent,model_load_time_seconds,inference_time_seconds,top5_predictions,top5_predictions_json
Carro,https://images.unsplash.com/photo-1492144534655-ae79c964c9d7,/home/jpdrlopes/Documentos/JogodaMemoria/vit_relatorio/output/imagens/carro.jpg,ViT Base,google/vit-base-patch16-224,cpu,ok,,"sports car, sport car",81.38646483421326,90.10060548782349,0.1888716220855713,"[{'classe': 'sports car, sport car', 'confianca_percentual': 81.38646483421326}, {'classe': 'grille, radiator grille', 'confianca_percentual': 8.805981278419495}, {'classe': 'car wheel', 'confianca_percentual': 3.7627335637807846}, {'classe': 'convertible', 'confianca_percentual': 3.747481480240822}, {'classe': 'racer, race car, racing car', 'confianca_percentual': 0.9551385417580605}]","[{""classe"": ""sports car, sport car"", ""confianca_percentual"": 81.38646483421326}, {""classe"": ""grille, radiator grille"", ""confianca_percentual"": 8.805981278419495}, {""classe"": ""car wheel"", ""confianca_percentual"": 3.7627335637807846}, {""classe"": ""convertible"", ""confianca_percentual"": 3.747481480240822}, {""classe"": ""racer, race car, racing car"", ""confianca_percentual"": 0.9551385417580605}]"
Carro,https://images.unsplash.com/photo-1492144534655-ae79c964c9d7,/home/jpdrlopes/Documentos/JogodaMemoria/vit_relatorio/output/imagens/carro.jpg,ViT Large,google/vit-large-patch16-224,cpu,ok,,"sports car, sport car",57.983529567718506,266.0799880027771,0.592853307723999,"[{'classe': 'sports car, sport car', 'confianca_percentual': 57.983529567718506}, {'classe': 'grille, radiator grille', 'confianca_percentual': 26.44801437854767}, {'classe': 'car wheel', 'confianca_percentual': 3.8926903158426285}, {'classe': 'racer, race car, racing car', 'confianca_percentual': 3.8061991333961487}, {'classe': 'convertible', 'confianca_percentual': 1.568414643406868}]","[{""classe"": ""sports car, sport car"", ""confianca_percentual"": 57.983529567718506}, {""classe"": ""grille, radiator grille"", ""confianca_percentual"": 26.44801437854767}, {""classe"": ""car wheel"", ""confianca_percentual"": 3.8926903158426285}, {""classe"": ""racer, race car, racing car"", ""confianca_percentual"": 3.8061991333961487}, {""classe"": ""convertible"", ""confianca_percentual"": 1.568414643406868}]"
Bicicleta,https://images.unsplash.com/photo-1541625602330-2277a4c46182,/home/jpdrlopes/Documentos/JogodaMemoria/vit_relatorio/output/imagens/bicicleta.jpg,ViT Base,google/vit-base-patch16-224,cpu,ok,,"mountain bike, all-terrain bike, off-roader",72.99800515174866,90.10060548782349,0.18384170532226562,"[{'classe': 'mountain bike, all-terrain bike, off-roader', 'confianca_percentual': 72.99800515174866}, {'classe': 'bicycle-built-for-two, tandem bicycle, tandem', 'confianca_percentual': 15.77148586511612}, {'classe': 'seashore, coast, seacoast, sea-coast', 'confianca_percentual': 2.646833471953869}, {'classe': 'crash helmet', 'confianca_percentual': 0.7788680959492922}, {'classe': 'sandbar, sand bar', 'confianca_percentual': 0.7650231011211872}]","[{""classe"": ""mountain bike, all-terrain bike, off-roader"", ""confianca_percentual"": 72.99800515174866}, {""classe"": ""bicycle-built-for-two, tandem bicycle, tandem"", ""confianca_percentual"": 15.77148586511612}, {""classe"": ""seashore, coast, seacoast, sea-coast"", ""confianca_percentual"": 2.646833471953869}, {""classe"": ""crash helmet"", ""confianca_percentual"": 0.7788680959492922}, {""classe"": ""sandbar, sand bar"", ""confianca_percentual"": 0.7650231011211872}]"
Bicicleta,https://images.unsplash.com/photo-1541625602330-2277a4c46182,/home/jpdrlopes/Documentos/JogodaMemoria/vit_relatorio/output/imagens/bicicleta.jpg,ViT Large,google/vit-large-patch16-224,cpu,ok,,"seashore, coast, seacoast, sea-coast",37.05851435661316,266.0799880027771,0.5843005180358887,"[{'classe': 'seashore, coast, seacoast, sea-coast', 'confianca_percentual': 37.05851435661316}, {'classe': 'bicycle-built-for-two, tandem bicycle, tandem', 'confianca_percentual': 33.68724584579468}, {'classe': 'mountain bike, all-terrain bike, off-roader', 'confianca_percentual': 11.872240155935287}, {'classe': 'sandbar, sand bar', 'confianca_percentual': 3.15648689866066}, {'classe': 'lakeside, lakeshore', 'confianca_percentual': 1.59439817070961}]","[{""classe"": ""seashore, coast, seacoast, sea-coast"", ""confianca_percentual"": 37.05851435661316}, {""classe"": ""bicycle-built-for-two, tandem bicycle, tandem"", ""confianca_percentual"": 33.68724584579468}, {""classe"": ""mountain bike, all-terrain bike, off-roader"", ""confianca_percentual"": 11.872240155935287}, {""classe"": ""sandbar, sand bar"", ""confianca_percentual"": 3.15648689866066}, {""classe"": ""lakeside, lakeshore"", ""confianca_percentual"": 1.59439817070961}]"
Cachorro,https://images.unsplash.com/photo-1517849845537-4d257902454a,/home/jpdrlopes/Documentos/JogodaMemoria/vit_relatorio/output/imagens/cachorro.jpg,ViT Base,google/vit-base-patch16-224,cpu,ok,,"pug, pug-dog",82.3811411857605,90.10060548782349,0.1666417121887207,"[{'classe': 'pug, pug-dog', 'confianca_percentual': 82.3811411857605}, {'classe': 'stole', 'confianca_percentual': 4.7750987112522125}, {'classe': 'bull mastiff', 'confianca_percentual': 4.099339246749878}, {'classe': 'poncho', 'confianca_percentual': 1.014090795069933}, {'classe': 'French bulldog', 'confianca_percentual': 0.6646397523581982}]","[{""classe"": ""pug, pug-dog"", ""confianca_percentual"": 82.3811411857605}, {""classe"": ""stole"", ""confianca_percentual"": 4.7750987112522125}, {""classe"": ""bull mastiff"", ""confianca_percentual"": 4.099339246749878}, {""classe"": ""poncho"", ""confianca_percentual"": 1.014090795069933}, {""classe"": ""French bulldog"", ""confianca_percentual"": 0.6646397523581982}]"
Cachorro,https://images.unsplash.com/photo-1517849845537-4d257902454a,/home/jpdrlopes/Documentos/JogodaMemoria/vit_relatorio/output/imagens/cachorro.jpg,ViT Large,google/vit-large-patch16-224,cpu,ok,,Brabancon griffon,62.21417784690857,266.0799880027771,0.5810520648956299,"[{'classe': 'Brabancon griffon', 'confianca_percentual': 62.21417784690857}, {'classe': 'pug, pug-dog', 'confianca_percentual': 18.62737387418747}, {'classe': 'Staffordshire bullterrier, Staffordshire bull terrier', 'confianca_percentual': 2.7142809703946114}, {'classe': 'boxer', 'confianca_percentual': 1.8922127783298492}, {'classe': 'bull mastiff', 'confianca_percentual': 1.368424016982317}]","[{""classe"": ""Brabancon griffon"", ""confianca_percentual"": 62.21417784690857}, {""classe"": ""pug, pug-dog"", ""confianca_percentual"": 18.62737387418747}, {""classe"": ""Staffordshire bullterrier, Staffordshire bull terrier"", ""confianca_percentual"": 2.7142809703946114}, {""classe"": ""boxer"", ""confianca_percentual"": 1.8922127783298492}, {""classe"": ""bull mastiff"", ""confianca_percentual"": 1.368424016982317}]"
Praia,https://images.unsplash.com/photo-1507525428034-b723cf961d3e,/home/jpdrlopes/Documentos/JogodaMemoria/vit_relatorio/output/imagens/praia.jpg,ViT Base,google/vit-base-patch16-224,cpu,ok,,"seashore, coast, seacoast, sea-coast",91.34345054626465,90.10060548782349,0.18041324615478516,"[{'classe': 'seashore, coast, seacoast, sea-coast', 'confianca_percentual': 91.34345054626465}, {'classe': 'sandbar, sand bar', 'confianca_percentual': 4.089273139834404}, {'classe': 'lakeside, lakeshore', 'confianca_percentual': 1.1245769448578358}, {'classe': 'promontory, headland, head, foreland', 'confianca_percentual': 0.5968420766294003}, {'classe': 'conch', 'confianca_percentual': 0.5197626072913408}]","[{""classe"": ""seashore, coast, seacoast, sea-coast"", ""confianca_percentual"": 91.34345054626465}, {""classe"": ""sandbar, sand bar"", ""confianca_percentual"": 4.089273139834404}, {""classe"": ""lakeside, lakeshore"", ""confianca_percentual"": 1.1245769448578358}, {""classe"": ""promontory, headland, head, foreland"", ""confianca_percentual"": 0.5968420766294003}, {""classe"": ""conch"", ""confianca_percentual"": 0.5197626072913408}]"
Praia,https://images.unsplash.com/photo-1507525428034-b723cf961d3e,/home/jpdrlopes/Documentos/JogodaMemoria/vit_relatorio/output/imagens/praia.jpg,ViT Large,google/vit-large-patch16-224,cpu,ok,,"seashore, coast, seacoast, sea-coast",71.13401889801025,266.0799880027771,0.6152276992797852,"[{'classe': 'seashore, coast, seacoast, sea-coast', 'confianca_percentual': 71.13401889801025}, {'classe': 'conch', 'confianca_percentual': 15.033896267414093}, {'classe': 'sandbar, sand bar', 'confianca_percentual': 6.525199860334396}, {'classe': 'starfish, sea star', 'confianca_percentual': 1.392226479947567}, {'classe': 'lakeside, lakeshore', 'confianca_percentual': 0.6048770155757666}]","[{""classe"": ""seashore, coast, seacoast, sea-coast"", ""confianca_percentual"": 71.13401889801025}, {""classe"": ""conch"", ""confianca_percentual"": 15.033896267414093}, {""classe"": ""sandbar, sand bar"", ""confianca_percentual"": 6.525199860334396}, {""classe"": ""starfish, sea star"", ""confianca_percentual"": 1.392226479947567}, {""classe"": ""lakeside, lakeshore"", ""confianca_percentual"": 0.6048770155757666}]"
Floresta,https://images.unsplash.com/photo-1441974231531-c6227db76b6e,/home/jpdrlopes/Documentos/JogodaMemoria/vit_relatorio/output/imagens/floresta.jpg,ViT Base,google/vit-base-patch16-224,cpu,ok,,mountain tent,29.3398916721344,90.10060548782349,0.19923758506774902,"[{'classe': 'mountain tent', 'confianca_percentual': 29.3398916721344}, {'classe': 'lakeside, lakeshore', 'confianca_percentual': 11.494122445583344}, {'classe': 'boathouse', 'confianca_percentual': 5.978135392069817}, {'classe': 'yurt', 'confianca_percentual': 5.103670433163643}, {'classe': 'valley, vale', 'confianca_percentual': 3.3356159925460815}]","[{""classe"": ""mountain tent"", ""confianca_percentual"": 29.3398916721344}, {""classe"": ""lakeside, lakeshore"", ""confianca_percentual"": 11.494122445583344}, {""classe"": ""boathouse"", ""confianca_percentual"": 5.978135392069817}, {""classe"": ""yurt"", ""confianca_percentual"": 5.103670433163643}, {""classe"": ""valley, vale"", ""confianca_percentual"": 3.3356159925460815}]"
Floresta,https://images.unsplash.com/photo-1441974231531-c6227db76b6e,/home/jpdrlopes/Documentos/JogodaMemoria/vit_relatorio/output/imagens/floresta.jpg,ViT Large,google/vit-large-patch16-224,cpu,ok,,"lakeside, lakeshore",14.650365710258484,266.0799880027771,0.5964534282684326,"[{'classe': 'lakeside, lakeshore', 'confianca_percentual': 14.650365710258484}, {'classe': 'viaduct', 'confianca_percentual': 5.4092541337013245}, {'classe': 'cloak', 'confianca_percentual': 3.2228700816631317}, {'classe': 'valley, vale', 'confianca_percentual': 2.5503182783722878}, {'classe': 'seashore, coast, seacoast, sea-coast', 'confianca_percentual': 2.3062046617269516}]","[{""classe"": ""lakeside, lakeshore"", ""confianca_percentual"": 14.650365710258484}, {""classe"": ""viaduct"", ""confianca_percentual"": 5.4092541337013245}, {""classe"": ""cloak"", ""confianca_percentual"": 3.2228700816631317}, {""classe"": ""valley, vale"", ""confianca_percentual"": 2.5503182783722878}, {""classe"": ""seashore, coast, seacoast, sea-coast"", ""confianca_percentual"": 2.3062046617269516}]"
